stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
300746.SZ,,latent_extreme,z2_top,-0.6558043,z2,-0.6558043,7,z2_top
300750.SZ,,latent_extreme,z1_top,73.362404,z1,73.362404,8,cluster_1_rep|z1_top|z2_bottom|z5_bottom|z6_bottom
300750.SZ,,latent_extreme,z2_bottom,-79.59235,z2,-79.59235,5,cluster_1_rep|z1_top|z2_bottom|z5_bottom|z6_bottom
300750.SZ,,latent_extreme,z5_bottom,-51.94577,z5,-51.94577,10,cluster_1_rep|z1_top|z2_bottom|z5_bottom|z6_bottom
300750.SZ,,latent_extreme,z6_bottom,-19.502914,z6,-19.502914,9,cluster_1_rep|z1_top|z2_bottom|z5_bottom|z6_bottom
300958.SZ,,latent_extreme,z5_top,8.86958,z5,8.86958,6,z5_top|z8_bottom
300958.SZ,,latent_extreme,z8_bottom,-5.212013,z8,-5.212013,6,z5_top|z8_bottom
300972.SZ,,latent_extreme,z1_top,66.64497,z1,66.64497,9,z1_top|z4_top|z6_bottom
300972.SZ,,latent_extreme,z4_top,23.982325,z4,23.982325,5,z1_top|z4_top|z6_bottom
300972.SZ,,latent_extreme,z6_bottom,-18.812733,z6,-18.812733,10,z1_top|z4_top|z6_bottom
300981.SZ,,latent_extreme,z8_bottom,-2.7036443,z8,-2.7036443,10,z8_bottom
301448.SZ,,latent_extreme,z4_bottom,-13.836336,z4,-13.836336,4,z4_bottom
302132.SZ,,latent_extreme,z3_bottom,-8.707084,z3,-8.707084,2,z3_bottom|z7_bottom
302132.SZ,,latent_extreme,z7_bottom,-9.751645,z7,-9.751645,2,z3_bottom|z7_bottom
600048.SH,,latent_extreme,z2_bottom,-82.95304,z2,-82.95304,4,z2_bottom
600082.SH,,latent_extreme,z4_bottom,-11.856868,z4,-11.856868,5,z4_bottom
600115.SH,,latent_extreme,z7_bottom,0.53400445,z7,0.53400445,6,z7_bottom
600121.SH,,latent_extreme,z5_top,4.659789,z5,4.659789,10,z5_top
600153.SH,,latent_extreme,z2_bottom,-71.2238,z2,-71.2238,10,z2_bottom
600281.SH,,latent_extreme,z7_bottom,0.7723165,z7,0.7723165,10,z7_bottom
600322.SH,,latent_extreme,z1_bottom,1.5735309,z1,1.5735309,7,z1_bottom
600519.SH,,latent_extreme,z1_top,101.93196,z1,101.93196,2,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
